,title,link,author,author_link,date
15,Enhancing the implementation and sustainability of fundamental movement skill interventions in the UK and Ireland: lessons from collective intelligence engagement with stakeholders,https://pureportal.coventry.ac.uk/en/publications/enhancing-the-implementation-and-sustainability-of-fundamental-mo,"Ma, J.",https://pureportal.coventry.ac.uk/en/persons/jiani-ma-2,3 Nov 2021
16,Fundamental Movement Skill Proficiency Among British Primary School Children: Analysis at a Behavioral Component Level,https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skill-proficiency-among-british-primary-scho,"Eyre, E. L. J.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre,Apr 2021
17,"Fundamental movement skills and perceived competence, but not fitness, are the key factors associated with technical skill performance in boys who play grassroots soccer",https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skills-and-perceived-competence-but-not-fitn,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,7 Apr 2021
18,Habitual Caffeine Consumption Does Not Affect the Ergogenicity of Coffee Ingestion During a 5 km Cycling Time Trial,https://pureportal.coventry.ac.uk/en/publications/habitual-caffeine-consumption-does-not-affect-the-ergogenicity-of,"Clarke, N. D.",https://pureportal.coventry.ac.uk/en/persons/neil-clarke,Jan 2021
19,Histone mRNA is subject to 3’ uridylation and re-adenylation in Aspergillus nidulans,https://pureportal.coventry.ac.uk/en/publications/histone-mrna-is-subject-to-3-uridylation-and-re-adenylation-in-as,"Morozov, I.",https://pureportal.coventry.ac.uk/en/persons/igor-morozov,Feb 2021
20,Improving food safety culture in Nigeria: A review of practical issues,https://pureportal.coventry.ac.uk/en/publications/improving-food-safety-culture-in-nigeria-a-review-of-practical-is,,,13 Aug 2021
21,It’s Not Just What You Do but the Way You Do It: A Systematic Review of Process Evaluation of Interventions to Improve Gross Motor Competence,https://pureportal.coventry.ac.uk/en/publications/its-not-just-what-you-do-but-the-way-you-do-it-a-systematic-revie,"Ma, J.",https://pureportal.coventry.ac.uk/en/persons/jiani-ma-2,Dec 2021
22,"Life after lockdown: The role of sport, exercise and physical activity in ameliorating the mental health implications of COVID-19 restrictions",https://pureportal.coventry.ac.uk/en/publications/life-after-lockdown-the-role-of-sport-exercise-and-physical-activ,"Clarke, N. D.",https://pureportal.coventry.ac.uk/en/persons/neil-clarke,2021
23,Optimal Loading for Force Production in the Straight Bar Deadlift: Force-Time Characteristics in Strength-Trained Adults,https://pureportal.coventry.ac.uk/en/publications/optimal-loading-for-force-production-in-the-straight-bar-deadlift,"Mundy, P.",https://pureportal.coventry.ac.uk/en/persons/peter-mundy,1 Jun 2021
24,Physical profiling of international cricket players: an investigation between bowlers and batters ,https://pureportal.coventry.ac.uk/en/publications/physical-profiling-of-international-cricket-players-an-investigat,"Clarke, N.",https://pureportal.coventry.ac.uk/en/persons/neil-clarke,2021
25,Predicting Children’s Energy Expenditure during Physical Activity using Deep Learning and Wearable Sensor Data,https://pureportal.coventry.ac.uk/en/publications/predicting-childrens-energy-expenditure-during-physical-activity-,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,2021
26,"Pre-schoolers fundamental movement skills predict BMI, physical activity, and sedentary behavior: A longitudinal study",https://pureportal.coventry.ac.uk/en/publications/pre-schoolers-fundamental-movement-skills-predict-bmi-physical-ac,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,Apr 2021
27,Prevalence and factors related to urinary incontinence in older adults women worldwide: a comprehensive systematic review and meta-analysis of observational studies,https://pureportal.coventry.ac.uk/en/publications/prevalence-and-factors-related-to-urinary-incontinence-in-older-a,"Bokaee, S.",https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee,29 Mar 2021
28,Rates of Bile Acid Diarrhoea After Cholecystectomy: A Multicentre Audit,https://pureportal.coventry.ac.uk/en/publications/rates-of-bile-acid-diarrhoea-after-cholecystectomy-a-multicentre-,,,Aug 2021
29,Rationalizing teacher roles in developing and assessing physical literacy in children,https://pureportal.coventry.ac.uk/en/publications/rationalizing-teacher-roles-in-developing-and-assessing-physical-,"Essiet, I.",https://pureportal.coventry.ac.uk/en/persons/inimfon-essiet,Feb 2021
30,Skin anisotropy: Finding the optimal incision line for volar forearm in males and females,https://pureportal.coventry.ac.uk/en/publications/skin-anisotropy-finding-the-optimal-incision-line-for-volar-forea,"Hill, M.",https://pureportal.coventry.ac.uk/en/persons/mathew-hill,Dec 2021
31,Stepping Into Salsa Culture: An Experiential Account of Engaging With a University Non-Credit Dance Programme,https://pureportal.coventry.ac.uk/en/publications/stepping-into-salsa-culture-an-experiential-account-of-engaging-w,"Domene, P.",https://pureportal.coventry.ac.uk/en/persons/pablo-domene,14 Sep 2021
32,Strength and Conditioning Practices and Perspectives of Volleyball Coaches and Players,https://pureportal.coventry.ac.uk/en/publications/strength-and-conditioning-practices-and-perspectives-of-volleybal,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,13 Feb 2021
33,Test-retest reliability of soccer dribbling tests in children,https://pureportal.coventry.ac.uk/en/publications/test-retest-reliability-of-soccer-dribbling-tests-in-children,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,5 Aug 2021
34,The determination of the lower critical concentration temperature and intrinsic viscosity: The syneresis reaction of polymeric gels,https://pureportal.coventry.ac.uk/en/publications/the-determination-of-the-lower-critical-concentration-temperature,"Munialo, C. D.",https://pureportal.coventry.ac.uk/en/persons/claire-munialo,Mar 2022
35,The dose–response relationship between training-load measures and aerobic fitness in elite academy soccer players,https://pureportal.coventry.ac.uk/en/publications/the-doseresponse-relationship-between-training-load-measures-and-,"Noon, M.",https://pureportal.coventry.ac.uk/en/persons/mark-noon,2021
36,The effect of fatigue on first stance phase kinetics during acceleration sprint running in professional football players,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-fatigue-on-first-stance-phase-kinetics-during-accel,"Wdowski, M.",https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski,2021
37,The effects of high adiposity on concentric and eccentric muscle performance of upper and lower limb musculature in young and older adults,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-high-adiposity-on-concentric-and-eccentric-muscle-,"Shelley, S.",https://pureportal.coventry.ac.uk/en/persons/sharn-shelley,3 Mar 2021
38,The Impact of Student Attendance on Assessment Specific Performance in Sport Degree Programs,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-student-attendance-on-assessment-specific-performan,"Eustace, S.",https://pureportal.coventry.ac.uk/en/persons/steven-eustace,Nov 2021
39,"The influence of COVID-19 measures in the United Kingdom on physical activity levels, perceived physical function and mood in older adults: A survey-based observational study",https://pureportal.coventry.ac.uk/en/publications/the-influence-of-covid-19-measures-in-the-united-kingdom-on-physi,"Duncan, M. J.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,2021
40,The Influence of Recruitment Age and Anthropometric and Physical Characteristics on the Development Pathway of English Academy Football Players,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-recruitment-age-and-anthropometric-and-physical-,"Noon, M.",https://pureportal.coventry.ac.uk/en/persons/mark-noon,Feb 2021
41,"The influence of the urban food environment on diet, nutrition and health outcomes in low-income and middle-income countries: A systematic review",https://pureportal.coventry.ac.uk/en/publications/the-influence-of-the-urban-food-environment-on-diet-nutrition-and,"Jones, H. M.",https://pureportal.coventry.ac.uk/en/persons/helen-jones,11 Oct 2021
42,The prevalence and practices of caffeine use as an ergogenic aid in English professional soccer: Caffeine Use In Professional Soccer,https://pureportal.coventry.ac.uk/en/publications/the-prevalence-and-practices-of-caffeine-use-as-an-ergogenic-aid-,"Tallis, J.",https://pureportal.coventry.ac.uk/en/persons/jason-tallis,2021
43,The Relationship between Training Load Measures and Next-Day Well-Being in Rugby Union Players,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-training-load-measures-and-next-day-well,,,25 Jun 2021
44,The transitioning feature between uncooked and cooked cowpea seeds studied by the mechanical compression test,https://pureportal.coventry.ac.uk/en/publications/the-transitioning-feature-between-uncooked-and-cooked-cowpea-seed,"Munialo, C. D.",https://pureportal.coventry.ac.uk/en/persons/claire-munialo,Mar 2021
45,Understanding a Player’s Decision-Making Process in Team Sports: A Systematic Review of Empirical Evidence,https://pureportal.coventry.ac.uk/en/publications/understanding-a-players-decision-making-process-in-team-sports-a-,"Ashford, M.",https://pureportal.coventry.ac.uk/en/persons/mike-ashford,17 May 2021
46,"What Cognitive Mechanism, When, Where, and Why? Exploring the Decision Making of University and Professional Rugby Union Players During Competitive Matches",https://pureportal.coventry.ac.uk/en/publications/what-cognitive-mechanism-when-where-and-why-exploring-the-decisio,"Ashford, M.",https://pureportal.coventry.ac.uk/en/persons/mike-ashford,12 May 2021
47,"A feedforward approach to teaching, learning and assessment in an undergraduate sports science module",https://pureportal.coventry.ac.uk/en/publications/a-feedforward-approach-to-teaching-learning-and-assessment-in-an-,"Noon, M.",https://pureportal.coventry.ac.uk/en/persons/mark-noon,Nov 2020
48,Affective responses to supervised 10-week programs of resistance exercise in older adults,https://pureportal.coventry.ac.uk/en/publications/affective-responses-to-supervised-10-week-programs-of-resistance-,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,Dec 2020
49,"Age-related changes in isolated mouse skeletal muscle function are dependent on sex, muscle, and contractility mode",https://pureportal.coventry.ac.uk/en/publications/age-related-changes-in-isolated-mouse-skeletal-muscle-function-ar,"James, R.",https://pureportal.coventry.ac.uk/en/persons/rob-james,1 Sep 2020
50,Age-related degeneration of the lumbar paravertebral muscles: Systematic review and three-level meta-regression,https://pureportal.coventry.ac.uk/en/publications/age-related-degeneration-of-the-lumbar-paravertebral-muscles-syst,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,May 2020
51,"A national survey exploring the influence of UK-based post-graduate education on the past, present and future of musculoskeletal physiotherapy practice.",https://pureportal.coventry.ac.uk/en/publications/a-national-survey-exploring-the-influence-of-uk-based-post-gradua,,,13 Nov 2020
52,Angle-Specific Isokinetic Metrics Highlight Strength Training Needs Of Elite Youth Soccer Players,https://pureportal.coventry.ac.uk/en/publications/angle-specific-isokinetic-metrics-highlight-strength-training-nee,"Eustace, S.",https://pureportal.coventry.ac.uk/en/persons/steven-eustace,1 Nov 2020
53,Are exercise referral schemes associated with an increase in physical activity? Observational findings using individual patient data meta-analysis from The National Referral database,https://pureportal.coventry.ac.uk/en/publications/are-exercise-referral-schemes-associated-with-an-increase-in-phys,"Rowley, N.",https://pureportal.coventry.ac.uk/en/persons/nikita-rowley,Jun 2020
54,Assessing the validity and reliability and determining cut-points of the Actiwatch 2 in measuring physical activity,https://pureportal.coventry.ac.uk/en/publications/assessing-the-validity-and-reliability-and-determining-cut-points,"Roden, L. C.",https://pureportal.coventry.ac.uk/en/persons/laura-roden,1 Sep 2020
55,Associations between self-reported sleep duration and cardiometabolic risk factors in young African-origin adults from the five-country Modeling the Epidemiologic Transition Study (METS),https://pureportal.coventry.ac.uk/en/publications/associations-between-self-reported-sleep-duration-and-cardiometab,"Roden, L.",https://pureportal.coventry.ac.uk/en/persons/laura-roden,Aug 2020
56,Calibration and Cross-Validation of Accelerometery for Estimating Movement Skills in Children Aged 8-12 Years,https://pureportal.coventry.ac.uk/en/publications/calibration-and-cross-validation-of-accelerometery-for-estimating,"Duncan, M. J.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,13 May 2020
57,Circadian oscillations persist in cervical and esophageal cancer cells displaying decreased expression of tumor-suppressing circadian clock genes,https://pureportal.coventry.ac.uk/en/publications/circadian-oscillations-persist-in-cervical-and-esophageal-cancer-,"Roden, L.",https://pureportal.coventry.ac.uk/en/persons/laura-roden,1 Sep 2020
58,Cocaine by-product detection with metal oxide semiconductor sensor arrays,https://pureportal.coventry.ac.uk/en/publications/cocaine-by-product-detection-with-metal-oxide-semiconductor-senso,"Tarttelin Hernandez, P.",https://pureportal.coventry.ac.uk/en/persons/paula-tarttelin-hernandez,2020
59,Contemporary practices of strength and conditioning coaches in professional soccer,https://pureportal.coventry.ac.uk/en/publications/contemporary-practices-of-strength-and-conditioning-coaches-in-pr,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,24 Oct 2020
60,Cross validation of Actigraph derived accelerometer cut-points for assessment of sedentary behaviour and physical activity in children aged 8-11 years,https://pureportal.coventry.ac.uk/en/publications/cross-validation-of-actigraph-derived-accelerometer-cut-points-fo,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,1 Sep 2020
61,CT-based finite element analysis modelling of the effect of trochanteric soft tissue thickness on osteoporotic proximal femur fractures during sideways fall loading configuration.,https://pureportal.coventry.ac.uk/en/publications/ct-based-finite-element-analysis-modelling-of-the-effect-of-troch,"Stamou, A.",https://pureportal.coventry.ac.uk/en/persons/katerina-stamou,2020
62,Detection of humic acid in water using flat-sheet and folded-rod viscous alkaline glucose syrups,https://pureportal.coventry.ac.uk/en/publications/detection-of-humic-acid-in-water-using-flat-sheet-and-folded-rod-,"Williams, S.",https://pureportal.coventry.ac.uk/en/persons/sharon-williams,7 Apr 2020
63,Developing open technology solutions in a simulated living lab environment: research in progress amidst the Covid-19 pandemic,https://pureportal.coventry.ac.uk/en/publications/developing-open-technology-solutions-in-a-simulated-living-lab-en,"Clark, C.",https://pureportal.coventry.ac.uk/en/persons/cain-clark,15 Sep 2020
64,"Developing Powerful Athletes, Part 1",https://pureportal.coventry.ac.uk/en/publications/developing-powerful-athletes-part-1,"Mundy, P.",https://pureportal.coventry.ac.uk/en/persons/peter-mundy,Jun 2020
65,"Does ultrasound equally improve the quality of beef? An insight into longissimus lumborum, infraspinatus and cleidooccipitalis",https://pureportal.coventry.ac.uk/en/publications/does-ultrasound-equally-improve-the-quality-of-beef-an-insight-in,,,1 Feb 2020
66,Do lower-limb kinematic and kinetic asymmetries transfer across sprint running and countermovement jumps in university rugby union players?,https://pureportal.coventry.ac.uk/en/publications/do-lower-limb-kinematic-and-kinetic-asymmetries-transfer-across-s,"Wdowski, M.",https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski,Sep 2020
67,Effects of exercise intensity on anticipation timing performance during a cycling task at moderate and vigorous intensities in children aged 7-11 years,https://pureportal.coventry.ac.uk/en/publications/effects-of-exercise-intensity-on-anticipation-timing-performance-,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,20 Apr 2020
68,First-Stance Phase Force Contributions to Acceleration Sprint Performance in Semi-Professional Soccer Players,https://pureportal.coventry.ac.uk/en/publications/first-stance-phase-force-contributions-to-acceleration-sprint-per,"Wdowski, M.",https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski,15 Mar 2020
69,Functional COL1A1 variants are associated with the risk of acute musculoskeletal soft tissue injuries,https://pureportal.coventry.ac.uk/en/publications/functional-col1a1-variants-are-associated-with-the-risk-of-acute-,"Raleigh, S. M.",https://pureportal.coventry.ac.uk/en/persons/stuart-raleigh,1 Oct 2020
70,Heat-related issues and practical applications for Paralympic athletes at Tokyo 2020,https://pureportal.coventry.ac.uk/en/publications/heat-related-issues-and-practical-applications-for-paralympic-ath,"Price, M.",https://pureportal.coventry.ac.uk/en/persons/mike-price,2020
71,High intensity interval training exercise-induced physiological changes and their potential influence on metabolic syndrome clinical biomarkers: a meta-analysis,https://pureportal.coventry.ac.uk/en/publications/high-intensity-interval-training-exercise-induced-physiological-c,"Horton, E.",https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton,10 Nov 2020
72,Impact of passive heat stress on persons with spinal cord injury: Implications for Olympic spectators,https://pureportal.coventry.ac.uk/en/publications/impact-of-passive-heat-stress-on-persons-with-spinal-cord-injury-,"Price, M.",https://pureportal.coventry.ac.uk/en/persons/mike-price,2 Apr 2020
73,Increased bone conducted vibration reduces motion sickness in automated vehicles,https://pureportal.coventry.ac.uk/en/publications/increased-bone-conducted-vibration-reduces-motion-sickness-in-aut,"Kanarachos, S.",https://pureportal.coventry.ac.uk/en/persons/stratis-kanarachos,25 Feb 2020
74,Individual vs. Group-based Strategies for Weight Loss and Management in Adults: Pen Profile Perceptions,https://pureportal.coventry.ac.uk/en/publications/individual-vs-group-based-strategies-for-weight-loss-and-manageme-2,"Clark, C.",https://pureportal.coventry.ac.uk/en/persons/cain-clark,Jun 2020
75,"Indoor air pollution, physical and comfort parameters related to schoolchildren's health: Data from the European SINPHONIE study",https://pureportal.coventry.ac.uk/en/publications/indoor-air-pollution-physical-and-comfort-parameters-related-to-s,"Tarttelin Hernandez, P.",https://pureportal.coventry.ac.uk/en/persons/paula-tarttelin-hernandez,15 Oct 2020
76,Inter-limb step asymmetry in closed and open skill sprint accelerations in soccer players,https://pureportal.coventry.ac.uk/en/publications/inter-limb-step-asymmetry-in-closed-and-open-skill-sprint-acceler,"Wdowski, M.",https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski,27 Aug 2020
77,Isometric Midthigh Pull Characteristics in Elite Youth Male Soccer Players: Comparisons by Age and Maturity Offset,https://pureportal.coventry.ac.uk/en/publications/isometric-midthigh-pull-characteristics-in-elite-youth-male-socce,"Morris, R. O.",https://pureportal.coventry.ac.uk/en/persons/rhys-morris,1 Oct 2020
78,Non-Invasive In Vivo Assessment of Cardiac Metabolism in the Healthy and Diabetic Human Heart Using Hyperpolarized 13C MRI,https://pureportal.coventry.ac.uk/en/publications/non-invasive-in-vivo-assessment-of-cardiac-metabolism-in-the-heal,"Dodd, M.",https://pureportal.coventry.ac.uk/en/persons/mike-dodd,13 Mar 2020
79,Observing key characteristics of exercise referral schemes in the United Kingdom - Delivery approaches currently used in England.,https://pureportal.coventry.ac.uk/en/publications/observing-key-characteristics-of-exercise-referral-schemes-in-the,"Rowley, N.",https://pureportal.coventry.ac.uk/en/persons/nikita-rowley,Jul 2020
80,Preventive antibiotic treatment of calves: emergence of dysbiosis causing propagation of obese state-associated and mobile multidrug resistance-carrying bacteria,https://pureportal.coventry.ac.uk/en/publications/preventive-antibiotic-treatment-of-calves-emergence-of-dysbiosis-,"Dobrzanska, D. A.",https://pureportal.coventry.ac.uk/en/persons/dorota-dobrzanska,1 May 2020
81,Profiling movement behaviours in pre-school children: A self-organised map approach,https://pureportal.coventry.ac.uk/en/publications/profiling-movement-behaviours-in-pre-school-children-a-self-organ,"Clark, C.",https://pureportal.coventry.ac.uk/en/persons/cain-clark,17 Jan 2020
82,Raising the Digital Profile of Facial Palsy: National Surveys of Patients' and Clinicians' Experiences of Changing UK Treatment Pathways and Views on the Future Role of Digital Technology,https://pureportal.coventry.ac.uk/en/publications/raising-the-digital-profile-of-facial-palsy-national-surveys-of-p,"Szczepura, A.",https://pureportal.coventry.ac.uk/en/persons/ala-szczepura,5 Oct 2020
83,Resistance training protocols promote strength increase without morphological changes,https://pureportal.coventry.ac.uk/en/publications/resistance-training-protocols-promote-strength-increase-without-m,"Ferreira, L. G.",https://pureportal.coventry.ac.uk/en/persons/lucas-guimaraes-ferreira-2,1 May 2020
84,"Rheological, tribological and sensory attributes of texture-modified foods for dysphagia patients and the elderly: A review",https://pureportal.coventry.ac.uk/en/publications/rheological-tribological-and-sensory-attributes-of-texture-modifi,"Munialo, C. D.",https://pureportal.coventry.ac.uk/en/persons/claire-munialo,May 2020
85,"Run, Jump, Throw and Catch: How proficient are children attending English schools at the Fundamental Motor Skills identified as key within the school curriculum?",https://pureportal.coventry.ac.uk/en/publications/run-jump-throw-and-catch-how-proficient-are-children-attending-en,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,1 Nov 2020
86,"Synthesis, Stability, and Biological Studies of Fluorinated Analogues of Thromboxane A2",https://pureportal.coventry.ac.uk/en/publications/synthesis-stability-and-biological-studies-of-fluorinated-analogu,"Mallah, S.",https://pureportal.coventry.ac.uk/en/persons/shahida-mallah,24 Jun 2020
87,The Effectiveness of a Primary School Based Badminton Intervention on Children’s Fundamental Movement Skills,https://pureportal.coventry.ac.uk/en/publications/the-effectiveness-of-a-primary-school-based-badminton-interventio,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,21 Jan 2020
88,The Effects of Caffeine Ingestion on Measures of Rowing Performance: A Systematic Review and Meta-Analysis,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-caffeine-ingestion-on-measures-of-rowing-performan,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,8 Feb 2020
89,The Effects of Combined Movement and Storytelling Intervention on Motor Skills in South Asian and White Children Aged 5–6 Years Living in the United Kingdom,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-combined-movement-and-storytelling-intervention-on,"Eyre, E.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre,13 May 2020
90,"The effects of stretching with cryotherapy, stretching with heat and stretching alone on hamstring flexibility in physically active females",https://pureportal.coventry.ac.uk/en/publications/the-effects-of-stretching-with-cryotherapy-stretching-with-heat-a,"Wdowski, M.",https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski,Sep 2020
91,The effects of turmeric on the grain structure and properties of copper electrodeposited composites,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-turmeric-on-the-grain-structure-and-properties-of-,"Wu, L.",https://pureportal.coventry.ac.uk/en/persons/liang-wu,2020
92,"The impact of a high-fat diet in mice is dependent on duration and age, and differs between muscles",https://pureportal.coventry.ac.uk/en/publications/the-impact-of-a-high-fat-diet-in-mice-is-dependent-on-duration-an,"Tallis, J.",https://pureportal.coventry.ac.uk/en/persons/jason-tallis,20 Mar 2020
93,The impact of rule modifications on player behaviour in a talent identification and development environment: A case study of the Rugby Football Union’s Wellington Academy Rugby Festival,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-rule-modifications-on-player-behaviour-in-a-talent-,"Ashford, M.",https://pureportal.coventry.ac.uk/en/persons/mike-ashford,2020
94,The Kinematic and Kinetic Development of Sprinting and Countermovement Jump Performance in Boys,https://pureportal.coventry.ac.uk/en/publications/the-kinematic-and-kinetic-development-of-sprinting-and-countermov,"Wdowski, M.",https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski,5 Nov 2020
95,Tópicos em fisiologia e bioquímica com ênfase no exercício e treinamento físico,https://pureportal.coventry.ac.uk/en/publications/t%C3%B3picos-in-physiology-and-biochemistry-with-emphasis-on-physical-,"Guimarães-Ferreira, L.",https://pureportal.coventry.ac.uk/en/persons/lucas-guimaraes-ferreira-2,14 Oct 2020
96,Understanding the presence of mental fatigue in English academy soccer players,https://pureportal.coventry.ac.uk/en/publications/understanding-the-presence-of-mental-fatigue-in-english-academy-s,"Noon, M.",https://pureportal.coventry.ac.uk/en/persons/mark-noon,2 Jul 2020
97,Using accelerometry to classify physical activity intensity in older adults: What is the optimal wear-site?,https://pureportal.coventry.ac.uk/en/publications/using-accelerometry-to-classify-physical-activity-intensity-in-ol,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,13 Sep 2020
98,Ventilatory and chronotropic incompetence during incremental and constant load exercise in end-stage renal disease: a comparative physiology study,https://pureportal.coventry.ac.uk/en/publications/ventilatory-and-chronotropic-incompetence-during-incremental-and-,"McGuire, S.",https://pureportal.coventry.ac.uk/en/persons/scott-mcguire-2,1 Sep 2020
99,A combined movement and story-telling intervention enhances motor competence and language ability in pre-schoolers to a greater extent than movement or story-telling alone,https://pureportal.coventry.ac.uk/en/publications/a-combined-movement-and-story-telling-intervention-enhances-motor,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan,1 Feb 2019
